Sonda meniń qurayday, solǵanım dep, háwjar.»	sonˈdɑ meˈniŋ qurɑjˈdɑj , solʁɑˈnɯm ˈdep , hæwˈʒɑr .
1414-jılı Xorasannıń Jam qalasında tuwıladı. Jámiydiń balalıq dáwirinde shańaraǵı Xiratqa kóship keledi. Ol Xirattaǵı Dilkash hám Samarqandtaǵı Uluǵbek medresesinde oqıp tálim aladı. Jámiy putin kúsh-quwatın ilimge, kórkem dóretiwshilikke baǵıshlaydı, til hám ádebiyat, filosofiya, matematika, astronomiya hám basqa pánler menen shuǵıllanadı. Kitap Jámiydiń eń jaqın dostı boladı.	ˈmɯŋ ˈtørt ˈʒyz ˈon ˈtørt ʒɯˈlɯ χorɑsɑnˈnɯŋ ˈʒɑm qɑlɑsɯnˈdɑ tuwɯlɑˈdɯ . ʒæmijˈdiŋ bɑlɑˈlɯq dæwirinˈde ʃɑŋɑrɑˈʁɯ χirɑtˈqɑ køˈʃip keleˈdi . ˈol χirɑttɑˈʁɯ dilˈkɑʃ ˈhæm sɑmɑrqɑndtɑˈʁɯ uluʁˈbek medresesinˈde oˈqɯp tæˈlim ɑlɑˈdɯ . ʒæˈmij puˈtin ˈkyʃ quwɑˈtɯn ilimˈɡe , kørˈkem døretiwʃilikˈke bɑʁɯʃlɑjˈdɯ , ˈtil ˈhæm ædebiˈjɑt , filosofiˈjɑ , mɑtemɑtiˈkɑ , ɑstronomiˈjɑ ˈhæm bɑsˈqɑ pænˈler meˈnen ʃuʁɯllɑnɑˈdɯ . kiˈtɑp ʒæmijˈdiŋ ˈeŋ ʒɑˈqɯn dosˈtɯ bolɑˈdɯ .
Afrika haywanlarǵa bay. Ol jerde haywanlardıń túrleri kóp. Máselen gepard, pil, arıslan, jılan, jiraf hám kóplegen basqa haywanlar. Afrika kól hám dáryalarında balıqtıń 2,000 nan aslam túri jasaydı.	ɑfriˈkɑ hɑjwɑnlɑrˈʁɑ ˈbɑj . ˈol ʒerˈde hɑjwɑnlɑrˈdɯŋ tyrleˈri ˈkøp . mæseˈlen ɡeˈpɑrd , ˈpil , ɑrɯsˈlɑn , ʒɯˈlɑn , ʒiˈrɑf ˈhæm køpleˈɡen bɑsˈqɑ hɑjwɑnˈlɑr . ɑfriˈkɑ ˈkøl ˈhæm dærjɑlɑrɯnˈdɑ bɑlɯqˈtɯŋ eˈki ˈmɯŋ ˈnɑn ɑsˈlɑm tyˈri ʒɑsɑjˈdɯ .
Ázerbayjan (Azərbaycan), Ázerbayjan Respublikası (Azərbaycan Respublikası) — Kavkaz artınıń qubla-shıǵıs bóleginde jaylasqan mámleket. Maydanı 86,6 mıń km². Xalqı 9,5 mln. adam (2015). Paytaxtı — Baku qalası. Basqarıw tárepten 61 rayon, 65 qala hám 122 qalashaǵa bólinedi. Naxichevon Avtonomiya Respublikası hám Tawlı Qarabaǵ Ázerbayjan quramına kiredi.	æzerbɑjˈʒɑn ɑzerbɑjˈkɑn , æzerbɑjˈʒɑn respublikɑˈsɯ ɑzerbɑjˈkɑn respublikɑˈsɯ kɑvˈkɑz ɑrtɯˈnɯŋ qubˈlɑ ʃɯˈʁɯs bøleɡinˈde ʒɑjlɑsˈqɑn mæmleˈket . mɑjdɑˈnɯ sekˈsen ɑlˈtɯ ɑlˈtɯ ˈmɯŋ kvɑdˈrɑt kiloˈmetr . χɑlˈqɯ toˈʁɯz ˈbes milliˈon ɑˈdɑm eˈki ˈmɯŋ ˈon ˈbes . pɑjtɑχˈtɯ bɑˈku qɑlɑˈsɯ . bɑsqɑˈrɯw tærepˈten ɑlˈpɯs ˈbir rɑˈjon , ɑlˈpɯs ˈbes qɑˈlɑ ˈhæm ˈʒyz ʒiɡirˈmɑ eˈki qɑlɑʃɑˈʁɑ bølineˈdi . nɑχit͡ʃeˈvon ɑvtonomiˈjɑ respublikɑˈsɯ ˈhæm tɑwˈlɯ qɑrɑˈbɑʁ æzerbɑjˈʒɑn qurɑmɯˈnɑ kireˈdi .
Transport jolı uzınlıǵı — 2 mıń km den artıq, avtomobil jolları uzınlıǵı 36,7 mıń km, 32 mıń km qattı qatlamlı. Teńiz transportınıń áhmiyeti úlken. Tiykarǵı portı Baku. Baku — Túrkmenbası teńiz paromi bar. Kura dáryasında keme qatnaydı. Baku-Batumi hám Ali-Bayramli — Baku neft trubası, Qarataw — Akstafa, Qarataw — Sumgait gaz trubaları bar. Bakuda Metropoliten qurılǵan. Pul birligi — manat.	trɑnsˈport ʒoˈlɯ uzɯnlɯˈʁɯ eˈki ˈmɯŋ kiloˈmetr ˈden ɑrˈtɯq , ɑvtomoˈbil ʒollɑˈrɯ uzɯnlɯˈʁɯ oˈtɯz ɑlˈtɯ ʒeˈti ˈmɯŋ kiloˈmetr , oˈtɯz eˈki ˈmɯŋ kiloˈmetr qɑtˈtɯ qɑtlɑmˈlɯ . teˈŋiz trɑnsportɯˈnɯŋ æhmijeˈti ylˈken . tijkɑrˈʁɯ porˈtɯ bɑˈku . bɑˈku tyrkmenbɑˈsɯ teˈŋiz pɑroˈmi ˈbɑr . kuˈrɑ dærjɑsɯnˈdɑ keˈme qɑtnɑjˈdɯ . bɑˈku bɑtuˈmi ˈhæm ɑˈli bɑjrɑmˈli bɑˈku ˈneft trubɑˈsɯ , qɑrɑˈtɑw ɑkstɑˈfɑ , qɑrɑˈtɑw sumɡɑˈit ˈɡɑz trubɑlɑˈrɯ ˈbɑr . bɑkuˈdɑ metropoliˈten qurɯlˈʁɑn . ˈpul birliˈɡi mɑˈnɑt .
Afrikanıń dástúriy din wákilleri — 0,309%	ɑfrikɑˈnɯŋ dæstyˈrij ˈdin wækilleˈri ˈnol ˈyʃ ˈʒyz toˈʁɯz proˈkent
Agnostikler, ateistler yamasa dinsizler — 7,354%	ɑɡnostikˈler , ɑteistˈler jɑmɑˈsɑ dinsizˈler ʒeˈti ˈmɯŋ ˈyʃ ˈʒyz eˈliw ˈtørt proˈkent
15-noyabr — Túrkiya nıń Denizli qalası nda jaylasqan Pamukkale universiteti nde «200 jıllıǵında tanımalı qaraqalpaq shayırı Ájiniyaz Qosıbay ulı (Ómiri, shıǵarmaları» («Doğumunun 200. Yıl Dönümünde Ünlü Karakalpak Şairi Ajiniyaz Kosıbayulı (Hayatı-Şiirleri)») atlı ilaj shólkemlestirildi .	ˈon ˈbes noˈjɑbr tyrkiˈjɑ ˈnɯŋ denizˈli qɑlɑˈsɯ nˈdɑ ʒɑjlɑsˈqɑn pɑmukkɑˈle universiteˈti nˈde eˈki ˈʒyz ʒɯllɯʁɯnˈdɑ tɑnɯmɑˈlɯ qɑrɑqɑlˈpɑq ʃɑjɯˈrɯ æʒiniˈjɑz qosɯˈbɑj uˈlɯ ømiˈri , ʃɯʁɑrmɑlɑˈrɯ doɡumuˈnun eˈki ˈʒyz . ˈjɯl donumunˈde unˈlu kɑrɑkɑlˈpɑk sɑiˈri ɑʒiniˈjɑz kosɯbɑjuˈlɯ hɑjɑˈtɯ siirleˈri ɑtˈlɯ iˈlɑʒ ʃølkemlestirilˈdi .
Veysheshikanıń dáliyllewinshe turaqlı ózgerisler, payda bolıwdıń hám tómenlep qalıwdıń máńgilik hám tsiklı protsessleri jasaydı. Usı protsesste, turaqlı element atası boladı. Bunda janlı jansız predmetler payda boladı. Jan máńgi hám sheksiz jasaydı, ol eki formaǵa iye 1. Absolyut jetsikenlik óz kórinisin tabatuǵın individuallıq forma.	vejʃeʃikɑˈnɯŋ dælijllewinˈʃe turɑqˈlɯ øzɡerisˈler , pɑjˈdɑ bolɯwˈdɯŋ ˈhæm tømenˈlep qɑlɯwˈdɯŋ mæŋɡiˈlik ˈhæm tsikˈlɯ protsessleˈri ʒɑsɑjˈdɯ . uˈsɯ protsessˈte , turɑqˈlɯ eleˈment ɑtɑˈsɯ bolɑˈdɯ . bunˈdɑ ʒɑnˈlɯ ʒɑnˈsɯz predmetˈler pɑjˈdɑ bolɑˈdɯ . ˈʒɑn mæŋˈɡi ˈhæm ʃekˈsiz ʒɑsɑjˈdɯ , ˈol eˈki formɑˈʁɑ iˈje ˈbir . ɑbsolˈjut ʒetsikenˈlik ˈøz køriniˈsin tɑbɑtuˈʁɯn individuɑlˈlɯq forˈmɑ .
1. Óz aldına assembler faylları – Assembler kodı bólek jazıladı hám C++ kodı menen baylanıstırıladı .	ˈbir . ˈøz ɑldɯˈnɑ ɑssembˈler fɑjllɑˈrɯ ɑssembˈler koˈdɯ bøˈlek ʒɑzɯlɑˈdɯ ˈhæm k koˈdɯ meˈnen bɑjlɑnɯstɯrɯlɑˈdɯ .
2. Ishki assembler – Assembler kodı kompilyatorǵa tán keńeytpeler arqalı C++ kodı ishine kiritiledi.	eˈki . ɯʃˈki ɑssembˈler ɑssembˈler koˈdɯ kompiljɑtorˈʁɑ ˈtæn keŋejtpeˈler ɑrqɑˈlɯ k koˈdɯ iʃiˈne kiritileˈdi .
3. Shennon boyınsha, eki teń itimallı nátiyjege iye bolǵan tajriybede bolatuǵın informatsiya sanına teń bolǵan tiykarǵı informatsiya óleshem birligi.	ˈyʃ . ʃenˈnon bojɯnˈʃɑ , eˈki ˈteŋ itimɑlˈlɯ nætijʒeˈɡe iˈje bolˈʁɑn tɑʒrijbeˈde bolɑtuˈʁɯn informɑtsiˈjɑ sɑnɯˈnɑ ˈteŋ bolˈʁɑn tijkɑrˈʁɯ informɑtsiˈjɑ øleˈʃem birliˈɡi .
Belorussiya (Belorussiya), Belorus Respublikası (belarussha: Respublіka Belarus') — Evropa orayındaǵı mámleket. Shıǵıs Evropa tegisliginiń batısında jaylasqan. Maydanı 207,6 mıń km2. Xalqı 9 463 300 adam (2013). 6 wálayat, 118 rayon, 102 qala, 109 qalasha bar (1996). Paytaxtı — Minsk qalası. Belorussiya — dúnya mámleketleri arasında eń tınısh hám osuda bay mámleket.	belorussiˈjɑ belorussiˈjɑ , beloˈrus respublikɑˈsɯ belɑrusˈʃɑ , respubliˈkɑ belɑˈrus evroˈpɑ orɑjɯndɑˈʁɯ mæmleˈket . ʃɯˈʁɯs evroˈpɑ teɡisliɡiˈniŋ bɑtɯsɯnˈdɑ ʒɑjlɑsˈqɑn . mɑjdɑˈnɯ eˈki ˈʒyz ʒeˈti ɑlˈtɯ ˈmɯŋ kvɑdˈrɑt kiloˈmetr . χɑlˈqɯ toˈʁɯz milliˈon ˈtørt ˈʒyz ɑlˈpɯs ˈyʃ ˈmɯŋ ˈyʃ ˈʒyz ɑˈdɑm eˈki ˈmɯŋ ˈon ˈyʃ . ɑlˈtɯ wælɑˈjɑt , ˈʒyz ˈon seˈɡiz rɑˈjon , ˈʒyz eˈki qɑˈlɑ , ˈʒyz toˈʁɯz qɑlɑˈʃɑ ˈbɑr ˈmɯŋ toˈʁɯz ˈʒyz toqˈsɑn ɑlˈtɯ . pɑjtɑχˈtɯ ˈminsk qɑlɑˈsɯ . belorussiˈjɑ dynˈjɑ mæmleketleˈri ɑrɑsɯnˈdɑ ˈeŋ tɯˈnɯʃ ˈhæm osuˈdɑ ˈbɑj mæmleˈket .
Hindistan plitası elege shekem arqaǵa qaray jılına 67 mm qozǵalmaqta. Kelesi 10 million jıl ishinde ol 1,500 km Aziyaǵa kiredi.	hindisˈtɑn plitɑˈsɯ eleˈɡe ʃeˈkem ɑrqɑˈʁɑ qɑˈrɑj ʒɯlɯˈnɑ ɑlˈpɯs ʒeˈti milliˈmetr qozʁɑlmɑqˈtɑ . keleˈsi ˈon milliˈon ˈʒɯl iʃinˈde ˈol ˈmɯŋ ˈbes ˈʒyz kiloˈmetr ɑzijɑˈʁɑ kireˈdi .
Qaraqalpaqstan házirgi waqıtta, tiykarınan, shólstanlıqtan ibarat hám Ózbekstannıń batısında, Ámiwdárya háwiziniń eń tómengi bóliminde, Aral teńizi boyında jaylasqan . Maydanı 164 900 km² bolıp , átrapı shól menen qorshalǵan. Qızılqum shóli shıǵısında, al Qaraqum shóli qublasında jaylasqan. Ústirt plato batısqa qaray Kaspiy teńizine shekem sozılıp jatadı .	qɑrɑqɑlpɑqsˈtɑn hæzirˈɡi wɑqɯtˈtɑ , tijkɑrɯˈnɑn , ʃølstɑnlɯqˈtɑn ibɑˈrɑt ˈhæm øzbekstɑnˈnɯŋ bɑtɯsɯnˈdɑ , æmiwdærˈjɑ hæwiziˈniŋ ˈeŋ tømenˈɡi bøliminˈde , ɑˈrɑl teŋiˈzi bojɯnˈdɑ ʒɑjlɑsˈqɑn . mɑjdɑˈnɯ ˈʒyz ɑlˈpɯs ˈtørt ˈmɯŋ toˈʁɯz ˈʒyz kvɑdˈrɑt kiloˈmetr boˈlɯp , ætrɑˈpɯ ˈʃøl meˈnen qorʃɑlˈʁɑn . qɯzɯlˈqum ʃøˈli ʃɯʁɯsɯnˈdɑ , ˈɑl qɑrɑˈqum ʃøˈli qublɑsɯnˈdɑ ʒɑjlɑsˈqɑn . ysˈtirt plɑˈto bɑtɯsˈqɑ qɑˈrɑj kɑsˈpij teŋiziˈne ʃeˈkem sozɯˈlɯp ʒɑtɑˈdɯ .
Qazaqstan 5 mámleket penen shegaralas. Qazaqstannıń arqa tárepten Rossiya Federatsiyası menen shegarası dúnyadaǵı eń uzın shegara (7591 km), qublada Túrkmenstan, Ózbekistan hám Qırǵızstan, shıǵısta Qıtay menen shegaralas. Ulıwma shegarasınıń uzınlıǵı – 13 394 km. Batısta Kaspiy teńizi menene (2000 km), qubla batısta Aral teńizi menen juwıladı.	qɑzɑqsˈtɑn ˈbes mæmleˈket peˈnen ʃeɡɑrɑˈlɑs . qɑzɑqstɑnˈnɯŋ ɑrˈqɑ tærepˈten rossiˈjɑ federɑtsijɑˈsɯ meˈnen ʃeɡɑrɑˈsɯ dynjɑdɑˈʁɯ ˈeŋ uˈzɯn ʃeɡɑˈrɑ ʒeˈti ˈmɯŋ ˈbes ˈʒyz toqˈsɑn ˈbir kiloˈmetr , qublɑˈdɑ tyrkmensˈtɑn , øzbekisˈtɑn ˈhæm qɯrʁɯzsˈtɑn , ʃɯʁɯsˈtɑ qɯˈtɑj meˈnen ʃeɡɑrɑˈlɑs . ulɯwˈmɑ ʃeɡɑrɑsɯˈnɯŋ uzɯnlɯˈʁɯ miˈnus ˈon ˈyʃ ˈmɯŋ ˈyʃ ˈʒyz toqˈsɑn ˈtørt kiloˈmetr . bɑtɯsˈtɑ kɑsˈpij teŋiˈzi meneˈne eˈki ˈmɯŋ kiloˈmetr , qubˈlɑ bɑtɯsˈtɑ ɑˈrɑl teŋiˈzi meˈnen ʒuwɯlɑˈdɯ .
Jipekshilik yaǵnıy pilleshilik xalıq-xojalıǵınıń bir tarawı bolıp, tut jipek qurtın bagıw ham onı qayta islewdi óz ishine aladı. Qurtlar pille orap bolǵanan keyin, pille jıynap alınadı. Bul pillelerdiń tiykarǵı bólimi jipek alıw ushın jip iyiriw fabrikalarına jiberiledi. 1 kg pilleden 90 g jeńil hám tábiyiy qattı jipek alınadı.	ʒipekʃiˈlik jɑʁˈnɯj pilleʃiˈlik χɑˈlɯq χoʒɑlɯʁɯˈnɯŋ ˈbir tɑrɑˈwɯ boˈlɯp , ˈtut ʒiˈpek qurˈtɯn bɑˈɡɯw ˈhɑm oˈnɯ qɑjˈtɑ islewˈdi ˈøz iʃiˈne ɑlɑˈdɯ . qurtˈlɑr pilˈle oˈrɑp bolʁɑˈnɑn keˈjin , pilˈle ʒɯjˈnɑp ɑlɯnɑˈdɯ . ˈbul pillelerˈdiŋ tijkɑrˈʁɯ bøliˈmi ʒiˈpek ɑˈlɯw uˈʃɯn ˈʒip ijiˈriw fɑbrikɑlɑrɯˈnɑ ʒiberileˈdi . ˈbir kiloɡˈrɑmm pilleˈden toqˈsɑn ɡ ʒeˈŋil ˈhæm tæbiˈjij qɑtˈtɯ ʒiˈpek ɑlɯnɑˈdɯ .
Konfutsiydiń (b.e.sh 551-479 j) pikiri boyınsha "İnsan ózi ushın emes, jámiyet ushın insan" bolıp tabıladı. Konfutsiylik etika adamdı onıń sotsiallıq funktsiyası menen baylanısta túsinedi, al tábiyat bul adamdı usı funktsiyanı tiyislik dárejede orınlawǵa ákeliwi dep biledi.	konfutsijˈdiŋ b . ˈe . ʃ ˈbes ˈʒyz eˈliw ˈbir , ˈtørt ˈʒyz ʒetˈpis toˈʁɯz ʒ pikiˈri bojɯnˈʃɑ inˈsɑn øˈzi uˈʃɯn eˈmes , ʒæmiˈjet uˈʃɯn inˈsɑn boˈlɯp tɑbɯlɑˈdɯ . konfutsijˈlik etiˈkɑ ɑdɑmˈdɯ oˈnɯŋ sotsiɑlˈlɯq funktsijɑˈsɯ meˈnen bɑjlɑnɯsˈtɑ tysineˈdi , ˈɑl tæbiˈjɑt ˈbul ɑdɑmˈdɯ uˈsɯ funktsijɑˈnɯ tijisˈlik dæreʒeˈde orɯnlɑwˈʁɑ ækeliˈwi ˈdep bileˈdi .
Monistlik mektep, onıń dóretiwshisi Mo tszi (b.e.sh 479-431 j). Bunda bas dıqqat sotsiallıq etika problemalarına awdarıladı. Mektepte qara miynet onıń tıńlawshılardıń jasawınıń deregi anıqlanadı.	monistˈlik mekˈtep , oˈnɯŋ døretiwʃiˈsi ˈmo tsˈzi b . ˈe . ʃ ˈtørt ˈʒyz ʒetˈpis toˈʁɯz , ˈtørt ˈʒyz oˈtɯz ˈbir ʒ . bunˈdɑ ˈbɑs dɯqˈqɑt sotsiɑlˈlɯq etiˈkɑ problemɑlɑrɯˈnɑ ɑwdɑrɯlɑˈdɯ . mektepˈte qɑˈrɑ mijˈnet oˈnɯŋ tɯŋlɑwʃɯlɑrˈdɯŋ ʒɑsɑwɯˈnɯŋ dereˈɡi ɑnɯqlɑnɑˈdɯ .
Ańızlar kópshilik jaǵdaylarda bolmaǵan nárselerdi bolǵanday etip súwretleytuǵın awızeki prozalıq dóretpeler. Olardı burın ápsanalar hám ráwiyatlar menen aralastırıp bir janr retinde úyrenildi. Ańızlar qaraqalpaq ertekleri menen birge XIX-ásirdiń 30-40 jıllarında XX ásirdiń basında jıynala basladı. Olar kópshilik jaǵdayda qaraqalpaq ertekleri menen toplamlarında basıldı.	ɑŋɯzˈlɑr køpʃiˈlik ʒɑʁdɑjlɑrˈdɑ bolmɑˈʁɑn nærselerˈdi bolʁɑnˈdɑj eˈtip sywretlejtuˈʁɯn ɑwɯzeˈki prozɑˈlɯq døretpeˈler . olɑrˈdɯ buˈrɯn æpsɑnɑˈlɑr ˈhæm ræwijɑtˈlɑr meˈnen ɑrɑlɑstɯˈrɯp ˈbir ˈʒɑnr retinˈde yjrenilˈdi . ɑŋɯzˈlɑr qɑrɑqɑlˈpɑq ertekleˈri meˈnen birˈɡe ˈon toˈʁɯz æsirˈdiŋ oˈtɯz , ˈqɯrq ʒɯllɑrɯnˈdɑ ʒiɡirˈmɑ æsirˈdiŋ bɑsɯnˈdɑ ʒɯjnɑˈlɑ bɑslɑˈdɯ . oˈlɑr køpʃiˈlik ʒɑʁdɑjˈdɑ qɑrɑqɑlˈpɑq ertekleˈri meˈnen toplɑmlɑrɯnˈdɑ bɑsɯlˈdɯ .
Ayapbergen Muwsa ulı(1880-1936) — XIX ásirdiń aqırı XX ásirdiń basındaǵı qaraqalpaq ádebiyatınıń eń iri talantlı shayırlarınıń biri. Ayapbergen Muwsa ulı qaraqalpaq poeziyasınıń rawajlanıwına úlken úles qosqan sóz sheberlerinen esaplanadı.	ɑjɑpberˈɡen muwˈsɑ uˈlɯ ˈmɯŋ seˈɡiz ˈʒyz sekˈsen , ˈmɯŋ toˈʁɯz ˈʒyz oˈtɯz ɑlˈtɯ ˈon toˈʁɯz æsirˈdiŋ ɑqɯˈrɯ ʒiɡirˈmɑ æsirˈdiŋ bɑsɯndɑˈʁɯ qɑrɑqɑlˈpɑq ædebijɑtɯˈnɯŋ ˈeŋ iˈri tɑlɑntˈlɯ ʃɑjɯrlɑrɯˈnɯŋ biˈri . ɑjɑpberˈɡen muwˈsɑ uˈlɯ qɑrɑqɑlˈpɑq poezijɑsɯˈnɯŋ rɑwɑʒlɑnɯwɯˈnɑ ylˈken yˈles qosˈqɑn ˈsøz ʃeberleriˈnen esɑplɑnɑˈdɯ .
Ayapbergen Muwsa ulı jas waqıtlarınan-aq awıllıq mektepte oqıp sawatın ashqan. Ol jas gezlerinen-aq qatıqulaq, kórkem sózge sheber bala sıpatında kózge túsedi. Ayapbergen 15-20 jaslarında awıl elge tanılǵan shayır-qıssaxan bolıp jetilisedi.	ɑjɑpberˈɡen muwˈsɑ uˈlɯ ˈʒɑs wɑqɯtlɑrɯˈnɑn ˈɑq ɑwɯlˈlɯq mektepˈte oˈqɯp sɑwɑˈtɯn ɑʃˈqɑn . ˈol ˈʒɑs ɡezleriˈnen ˈɑq qɑtɯquˈlɑq , kørˈkem søzˈɡe ʃeˈber bɑˈlɑ sɯpɑtɯnˈdɑ køzˈɡe tyseˈdi . ɑjɑpberˈɡen ˈon ˈbes , ʒiɡirˈmɑ ʒɑslɑrɯnˈdɑ ɑˈwɯl elˈɡe tɑnɯlˈʁɑn ʃɑˈjɯr qɯssɑˈχɑn boˈlɯp ʒetiliseˈdi .
Ekonomikalıq jaqtan rawajlanıp atırǵan mámleketler qatarında. Mámlekettiń jalpı ishi ónimi JIO (nominal) – $205,539 mlrd (2018). Tiykarǵı ekonomikalıq baǵdarı — janılǵı energetika tarawında shiyki zat tayarlaw, awıl-xojalıǵı. Tiykarǵı pul birligi – teńge.	ekonomikɑˈlɯq ʒɑqˈtɑn rɑwɑʒlɑˈnɯp ɑtɯrˈʁɑn mæmleketˈler qɑtɑrɯnˈdɑ . mæmleketˈtiŋ ʒɑlˈpɯ iˈʃi øniˈmi ʒɯˈo nomiˈnɑl miˈnus eˈki ˈʒyz ˈbes ˈbes ˈʒyz oˈtɯz toˈʁɯz milliˈɑrd dolˈlɑr eˈki ˈmɯŋ ˈon seˈɡiz . tijkɑrˈʁɯ ekonomikɑˈlɯq bɑʁdɑˈrɯ ʒɑnɯlˈʁɯ enerɡetiˈkɑ tɑrɑwɯnˈdɑ ʃijˈki ˈzɑt tɑjɑrˈlɑw , ɑˈwɯl χoʒɑlɯˈʁɯ . tijkɑrˈʁɯ ˈpul birliˈɡi teŋˈɡe .
Usı dáslepki investorlar, dosları hám shańaraq aǵzaları arasında Google shama menen $1,000,000 jıynadı, bul olarǵa Kaliforniyadaǵı Menlo-Parkta ózleriniń dáslepki ofisin ashıwǵa múmkinshilik berdi .	uˈsɯ dæslepˈki investorˈlɑr , doslɑˈrɯ ˈhæm ʃɑŋɑˈrɑq ɑʁzɑlɑˈrɯ ɑrɑsɯnˈdɑ ɡooɡˈle ʃɑˈmɑ meˈnen ˈbir milliˈon dolˈlɑr ʒɯjnɑˈdɯ , ˈbul olɑrˈʁɑ kɑlifornijɑdɑˈʁɯ menˈlo pɑrkˈtɑ øzleriˈniŋ dæslepˈki ofiˈsin ɑʃɯwˈʁɑ mymkinʃiˈlik berˈdi .
Al, Meńesh te óz xalqınıń belgili shayırı. Onıń ústine qız bala. Jáne bul aytıs óz jerlesleri arasında bolıp otır. Ol da óz xalqı arasında aytıstan jeńiliwdi qálemeydi. Sonıń ushın bunıń júgi Ájiniyazǵa qaraǵanda awırıraq. Bul eki shayır da sol tiykarda aytısqa túsken.	ˈɑl , meˈŋeʃ ˈte ˈøz χɑlqɯˈnɯŋ belɡiˈli ʃɑjɯˈrɯ . oˈnɯŋ ystiˈne ˈqɯz bɑˈlɑ . ʒæˈne ˈbul ɑjˈtɯs ˈøz ʒerlesleˈri ɑrɑsɯnˈdɑ boˈlɯp oˈtɯr . ˈol ˈdɑ ˈøz χɑlˈqɯ ɑrɑsɯnˈdɑ ɑjtɯsˈtɑn ʒeŋiliwˈdi qælemejˈdi . soˈnɯŋ uˈʃɯn buˈnɯŋ ʒyˈɡi æʒinijɑzˈʁɑ qɑrɑʁɑnˈdɑ ɑwɯrɯˈrɑq . ˈbul eˈki ʃɑˈjɯr ˈdɑ ˈsol tijkɑrˈdɑ ɑjtɯsˈqɑ tysˈken .
Ulıwma aytısta bul eki shayırdıń qaysı biriniń jeńgenligi anıq málim emes. Solay bolsa da bul aytısta Ájiniyazdıń sál basımlaw bolǵanlıǵı seziledi. Onıń ústine qaraqalpaq shayırınıń «Qaraqalpaq qazaq penen teńbe-teń jurt, kórmeybilmey sırtınan qılma nasaq», dep aytıwı da aytıstıń negizgi túyinin sheship turǵan sıyaqlı.	ulɯwˈmɑ ɑjtɯsˈtɑ ˈbul eˈki ʃɑjɯrˈdɯŋ qɑjˈsɯ biriˈniŋ ʒeŋɡenliˈɡi ɑˈnɯq mæˈlim eˈmes . soˈlɑj bolˈsɑ ˈdɑ ˈbul ɑjtɯsˈtɑ æʒinijɑzˈdɯŋ ˈsæl bɑsɯmˈlɑw bolʁɑnlɯˈʁɯ sezileˈdi . oˈnɯŋ ystiˈne qɑrɑqɑlˈpɑq ʃɑjɯrɯˈnɯŋ qɑrɑqɑlˈpɑq qɑˈzɑq peˈnen teŋˈbe ˈteŋ ˈʒurt , kørmejbilˈmej sɯrtɯˈnɑn qɯlˈmɑ nɑˈsɑq , ˈdep ɑjtɯˈwɯ ˈdɑ ɑjtɯsˈtɯŋ neɡizˈɡi tyjiˈnin ʃeˈʃip turˈʁɑn sɯjɑqˈlɯ .
Ózbek xalqınıń ájayıp perzenti, danıshpan shayır hám oyshıl Alisher Nawayı XV ásirdiń ózinde-aq pútkil dúnyaǵa dańqı shıqqan Kún shıǵıs klassikalıq ádebiyatında 'Jeti juldızdıń biri esaplanǵan eń kórnekli sóz sheberleriniń biri edi. Onıń atı tez waqıttıń ishinde-aq pútkil Kúnshıǵıs penen Batısqa taralıp ketti.	øzˈbek χɑlqɯˈnɯŋ æʒɑˈjɯp perzenˈti , dɑnɯʃˈpɑn ʃɑˈjɯr ˈhæm ojˈʃɯl ɑliˈʃer nɑwɑˈjɯ ˈon ˈbes æsirˈdiŋ øzinˈde ˈɑq pytˈkil dynjɑˈʁɑ dɑŋˈqɯ ʃɯqˈqɑn ˈkyn ʃɯˈʁɯs klɑssikɑˈlɯq ædebijɑtɯnˈdɑ ʒeˈti ʒuldɯzˈdɯŋ biˈri esɑplɑnˈʁɑn ˈeŋ kørnekˈli ˈsøz ʃeberleriˈniŋ biˈri eˈdi . oˈnɯŋ ɑˈtɯ ˈtez wɑqɯtˈtɯŋ iʃinˈde ˈɑq pytˈkil kynʃɯˈʁɯs peˈnen bɑtɯsˈqɑ tɑrɑˈlɯp ketˈti .
áyyemgi Hindistanda filosofiyanıń rawajlanıwı protsessinde materialistlik tendentsiyalar hám filosofiyalıq mektepler kórinedi. Bunday táliymatlardıń birine "Lokayata" táliymatı kiredi. Lokayatanıń dóretiwshisi bolıp Charvaktıń atı ataladı. Lokayatanıń túsindiriwinshe Adam 4 materiallıq elementlerden turadı: jer, suw, ot, hawa. Olar birigip deneni, seziwlerdi, organlardı dúzedi.	æjjemˈɡi hindistɑnˈdɑ filosofijɑˈnɯŋ rɑwɑʒlɑnɯˈwɯ protsessinˈde mɑteriɑlistˈlik tendentsijɑˈlɑr ˈhæm filosofijɑˈlɯq mektepˈler kørineˈdi . bunˈdɑj tælijmɑtlɑrˈdɯŋ biriˈne lokɑjɑˈtɑ tælijmɑˈtɯ kireˈdi . lokɑjɑtɑˈnɯŋ døretiwʃiˈsi boˈlɯp t͡ʃɑrvɑkˈtɯŋ ɑˈtɯ ɑtɑlɑˈdɯ . lokɑjɑtɑˈnɯŋ tysindiriwinˈʃe ɑˈdɑm ˈtørt mɑteriɑlˈlɯq elementlerˈden turɑˈdɯ , ˈʒer , ˈsuw , ˈot , hɑˈwɑ . oˈlɑr biriˈɡip deneˈni , seziwlerˈdi , orɡɑnlɑrˈdɯ dyzeˈdi .
