ھەركىم ئۆزى يازالايدىغان ئوچۇق ئېنسكلوپېدىيە	hɛrkim ʔøzi jɑzɑlɑjdiʁɑn ʔot͡ʃuq ʔensklopedijɛ
ﯞﺍﺳﻜﯧﺘﺒﻮﻝ ﭼﻮﻟﭙﯩﻨﻰ ﺷﺎﻛﻮﺋﯩﻞ ﺋﻮﻧﯧﻞ ، ﺋﺎﻣﯧﺮﯨﻜﯩﻠﯩﻖ. ﺋﯘ ﮔﺎﺭﻏﺎ ﺗﻮﭖ ﺳﯧﻠﯩﺶ ﻣﺎﮬﯩﺮﻯ. ﺋﯘ ﻣﯩﺌﺎﻣﻰ ﺧﯩﺖ ﻛﻮﻣﺎﻧﺪﯨﺴﯩﻨﯩﯔ ﺋﻪﺯﺍﺳﻰ. ﺋﯘﻧﯩﯔ ﺋﯧﮕﯩﺰﻟﯩﻜﻰ 2.30 ﻣﯧﺘﯩﺮ، ﺋﯧﻐﯩﺮﻟﯩﻘﻰ 154 ﻛﯩﻠﻮﮔﺮﺍﻡ. ﺋﯘ ﺩﯙﻟﻪﺗﻠﯩﻚ ﯞﺍﺳﻜﯧﺘﺒﻮﻝ ﺑﯩﺮﻟﻪﺷﻤﯩﺴﻰ ﭼﻮﻟﭙﺎﻧﻼﺭ ﻛﻮﻣﺎﻧﺪﯨﺴﯩﻨﯩﯔ ﺋﻪﺯﺍﺳﻰ. ﺑﯘ ﻛﻮﻣﺎﻧﺪﺍ ﺋﯩﺴﻤﻰ- ﺟﯩﺴﻤﯩﻐﺎ ﻻﻳﯩﻖ ﭼﻮﻟﭙﺎﻧﻼﺭ ﻛﻮﻣﺎﻧﺪﯨﺴﯩﺪﯗﺭ.	wɑsketbol t͡ʃolpini ʃɑkoʔil ʔonel , ʔɑmerikiliq . ʔu ɡɑrʁɑ top seliʃ mɑhiri . ʔu miʔɑmi χit komɑndisiniŋ ʔɛzɑsi . ʔuniŋ ʔeɡizliki ʔikki ʔottuz metir , ʔeʁirliqi jyz ʔɛllik tøt kiloɡrɑm . ʔu dølɛtlik wɑsketbol birlɛʃmisi t͡ʃolpɑnlɑr komɑndisiniŋ ʔɛzɑsi . bu komɑndɑ ʔismi d͡ʒismiʁɑ lɑjiq t͡ʃolpɑnlɑr komɑndisidur .
دەرھەم. 2006-يىلى 414.69دەرھەم = بىر دوللار، 2004-يىلى 533.45دەرھەم = بىر دوللار، 2002-يىلى573.35 دەرھەم = بىر دوللار.	dɛrhɛm . ʔikki miŋ ʔɑltint͡ʃi jili tøt jyz ʔon tøt ʔɑtmiʃ toqquz dɛrhɛm bir dollɑr , ʔikki miŋ tøtint͡ʃi jili bɛʃ jyz ʔottuz ʔyt͡ʃ qiriq bɛʃ dɛrhɛm bir dollɑr , ʔikki miŋ ʔikkint͡ʃi jili bɛʃ jyz jɛtmiʃ ʔyt͡ʃ ʔottuz bɛʃ dɛrhɛm bir dollɑr .
پۇلى: ئالجىرىيە دىنارى (2006), 72.647دىنار=بىر دوللار، (2004) 72.61دىنار=بىر دوللار ، (2002)79.68دىنار=بىر دوللار	puli ʔɑld͡ʒirijɛ dinɑri ʔikki miŋ ʔɑltɛ , jɛtmiʃ ʔikki ʔɑltɛ jyz qiriq jɛttɛ dinɑr bir dollɑr , ʔikki miŋ tøt jɛtmiʃ ʔikki ʔɑtmiʃ bir dinɑr bir dollɑr , ʔikki miŋ ʔikki jɛtmiʃ toqquz ʔɑtmiʃ sɛkkiz dinɑr bir dollɑr
پۇلى: مانات. 2006-يىلى 0.8934مانات = بىر دوللار، 2004-يىلى 4913.48 دەرھەم = بىر دوللار، 2002-يىلى4,860.82 دەرھەم = بىر دوللار.	puli mɑnɑt . ʔikki miŋ ʔɑltint͡ʃi jili nøl sɛkkiz miŋ toqquz jyz ʔottuz tøt mɑnɑt bir dollɑr , ʔikki miŋ tøtint͡ʃi jili tøt miŋ toqquz jyz ʔon ʔyt͡ʃ qiriq sɛkkiz dɛrhɛm bir dollɑr , ʔikki miŋ ʔikkint͡ʃi jili tøt miŋ sɛkkiz jyz ʔɑtmiʃ sɛksɛn ʔikki dɛrhɛm bir dollɑr .
پۇلى: ئارگىنتىنا پىسۇسى 3.054(2006), پىسۇ=بىر دوللار2.92 (2004) , پىسۇ=بىر دوللار3.06(2002) , پىسۇ=بىر دوللار	puli ʔɑrɡintinɑ pisusi ʔyt͡ʃ ʔɛllik tøt ʔikki miŋ ʔɑltɛ , pisu bir dollɑr ʔikki toqsɑn ʔikki ʔikki miŋ tøt , pisu bir dollɑr ʔyt͡ʃ ʔɑltɛ ʔikki miŋ ʔikki , pisu bir dollɑr
پۇلى: بوسنىيە دىنارى، (2006-يىلى) 1.557 دىنار=بىر دوللار. 2004-يىلى 1.575دىنار=بىر دوللار. 2002-يىلى 2.78 دىنار=بىر دوللار . بوسنىيە 2010-يىلىغا بارغاندا ياۋوپا ئىتىپاقىغا كىرىپ ياۋرونى ئاساسلىق پۇل بىرلىكى قىلماقچى.	puli bosnijɛ dinɑri , ʔikki miŋ ʔɑltint͡ʃi jili bir bɛʃ jyz ʔɛllik jɛttɛ dinɑr bir dollɑr . ʔikki miŋ tøtint͡ʃi jili bir bɛʃ jyz jɛtmiʃ bɛʃ dinɑr bir dollɑr . ʔikki miŋ ʔikkint͡ʃi jili ʔikki jɛtmiʃ sɛkkiz dinɑr bir dollɑr . bosnijɛ ʔikki miŋ ʔonint͡ʃi jiliʁɑ bɑrʁɑndɑ jɑwopɑ ʔitipɑqiʁɑ kirip jɑwroni ʔɑsɑsliq pul birliki qilmɑqt͡ʃi .
پۇلى: كۋانزا. 2006-يىلى 80.4كۋانزا=بىر دوللار، 2004-يىلى 83.541كۋانزا= بىر دوللار، 2002-يىلى 43.53كۋانزا=بىر دوللار	puli kwɑnzɑ . ʔikki miŋ ʔɑltint͡ʃi jili sɛksɛn tøt kwɑnzɑ bir dollɑr , ʔikki miŋ tøtint͡ʃi jili sɛksɛn ʔyt͡ʃ bɛʃ jyz qiriq bir kwɑnzɑ bir dollɑr , ʔikki miŋ ʔikkint͡ʃi jili qiriq ʔyt͡ʃ ʔɛllik ʔyt͡ʃ kwɑnzɑ bir dollɑr
لارى. 2006-يىلى 1.78لارى = بىر دوللار، 2004-يىلى 1.9167لارى = بىر دوللار، 2002-يىلى2.1957 لارى = بىر دوللار.	lɑri . ʔikki miŋ ʔɑltint͡ʃi jili bir jɛtmiʃ sɛkkiz lɑri bir dollɑr , ʔikki miŋ tøtint͡ʃi jili bir toqquz miŋ jyz ʔɑtmiʃ jɛttɛ lɑri bir dollɑr , ʔikki miŋ ʔikkint͡ʃi jili ʔikki miŋ toqquz jyz ʔɛllik jɛttɛ lɑri bir dollɑr .
توپ تۈرىدىكى تەنھەرىكلەتلەر دۇنيادىكى بارلىق كىشىلەر ئومۇميۈزلۈك ياخشى كۆرىدىغان ھەرىكەت بولۇپ ، كۆپلىگەن دۆلەتلەرنىڭ > بار . بۇلارغا ھۆكۈمەت رەسمىي نام بەرگەن ياكى مەملىكەت ئىچى - سىرتىدىكى زاتلارنىڭ بىردەك ئېتىراپ قىلىشىغا ئېرىشكەن .	top tyridiki tɛnhɛriklɛtlɛr dunjɑdiki bɑrliq kiʃilɛr ʔomumjyzlyk jɑχʃi køridiʁɑn hɛrikɛt bolup , køpliɡɛn dølɛtlɛrniŋ bɑr . bulɑrʁɑ høkymɛt rɛsmij nɑm bɛrɡɛn jɑki mɛmlikɛt ʔit͡ʃi sirtidiki zɑtlɑrniŋ birdɛk ʔetirɑp qiliʃiʁɑ ʔeriʃkɛn .
تىلى: ئاھالىنىڭ 35%نى ئىگەللەيدىغان يەرلىك ئاندوررالار ۋە ۋە 43% نى ئىگەللەيدىغان ئىسپانىيىلىك كاتالونلار نىڭ كاتالون تىلى دۆلەت تىلى بولۇپ بۇلاردىن 11%پورتۇگال ۋە %7فىرانسىۇز بار.	tili ʔɑhɑliniŋ ʔottuz bɛʃ pirsɛntni ʔiɡɛllɛjdiʁɑn jɛrlik ʔɑndorrɑlɑr wɛ wɛ qiriq ʔyt͡ʃ pirsɛntni ʔiɡɛllɛjdiʁɑn ʔispɑnijilik kɑtɑlonlɑr niŋ kɑtɑlon tili dølɛt tili bolup bulɑrdin ʔon bir pirsɛnt portuɡɑl wɛ jɛttɛ pirsɛnt pirɑnsiuz bɑr .
پۇلى: ئاندوررا ياۋروپا ئىتىپاقىنىڭ ئەزاسى بولۇپ ياۋرو ئىشلىتىدۇ. ئاندوررانىڭ 2006-يىللىق مىللى دارامىتى 2مىليارت 600مىليۇن دوللار بولۇپ كىشى بېشىغا توغرا كېلىدىغىنى 38مىڭ دوللار. يىللىق ئىقتىسادى ئېشىش نىسبىتى يىللاردىن بۇيان %3 بولۇۋاتىدۇ.	puli ʔɑndorrɑ jɑwropɑ ʔitipɑqiniŋ ʔɛzɑsi bolup jɑwro ʔiʃlitidu . ʔɑndorrɑniŋ ʔikki miŋ ʔɑltint͡ʃi jilliq milli dɑrɑmiti ʔikki miljɑrt ʔɑltɛ jyz miljun dollɑr bolup kiʃi beʃiʁɑ toʁrɑ kelidiʁini ʔottuz sɛkkiz miŋ dollɑr . jilliq ʔiqtisɑdi ʔeʃiʃ nisbiti jillɑrdin bujɑn ʔyt͡ʃ pirsɛnt boluwɑtidu .
ئەرمەنىيە زىمىنى ئىگىزلىك ۋە تاغلاردىن شەكىللەنگەن، ھۆل يېغىنى مۇۋاپىق مۆتىدىل بەلباغقا تەۋە بولۇپ،15% ئورمانلىق.2% تېرىلغۇ يەر. تۇپراق ئۈنۈمدارلىقى بىر قەدەر يۇقىرى، كان بايلىقى مول . ئارمېنىيەدە ئاھالىنىڭ ئۈچتىن بىرى دېھقانچىلىق بىلەن شۇغۇللىنىدۇ.	ʔɛrmɛnijɛ zimini ʔiɡizlik wɛ tɑʁlɑrdin ʃɛkillɛnɡɛn , høl jeʁini muwɑpiq møtidil bɛlbɑʁqɑ tɛwɛ bolup , ʔon bɛʃ pirsɛnt ʔormɑnliq . ʔikki pirsɛnt terilʁu jɛr . tuprɑq ʔynymdɑrliqi bir qɛdɛr juqiri , kɑn bɑjliqi mol . ʔɑrmenijɛdɛ ʔɑhɑliniŋ ʔyt͡ʃtin biri dehqɑnt͡ʃiliq bilɛn ʃuʁullinidu .
پەيغەمبەر ئەلەيھىسسالامدىن 146 ھەدىس رىۋايەت قىلغان. ھ. 35 - يىلى 18 - زۇلھەججە / م. 656- يىلى 17 - ئىيۇلدا ئۆيىدە «قۇرئان» ئوقۇۋاتقاندا شەھىد قىلىنغان .	pɛjʁɛmbɛr ʔɛlɛjhissɑlɑmdin jyz qiriq ʔɑltɛ hɛdis riwɑjɛt qilʁɑn . hid͡ʒrijɛ ʔottuz bɛʃint͡ʃi jili ʔon sɛkkizint͡ʃi zulhɛd͡ʒd͡ʒɛ milɑdi ʔɑltɛ jyz ʔɛllik ʔɑltint͡ʃi jili ʔon jɛttint͡ʃi ʔijuldɑ ʔøjidɛ qurʔɑn ʔoquwɑtqɑndɑ ʃɛhit qilinʁɑn .
1. بارمىن.ئا.ب. 1918-1941-يىلىدىكى سوۋېت -جۇڭگو مۇناسىۋەتلىرىدە شىنجاڭ. بارنائۇل، 1999-يىلى. بارمىن بۇ ئۇچۇرنى “رۇسىيە ھازىرقى زامان تارىخى ماتېرىياللىرىنى ساقلاش ۋە تەتقىق قىلىش مەركىزى، 62-فوند.2- مۇندەرىجە، 2209-جىلد، 9-10-پارچە”دىن نەقىل ئالغان. (رۇسچە)	bir . bɑrmin . ʔɑ . p . miŋ toqquz jyz ʔon sɛkkiz miŋ toqquz jyz qiriq birint͡ʃi jilidiki sowet d͡ʒuŋɡo munɑsiwɛtliridɛ ʃind͡ʒɑŋ . bɑrnɑʔul , miŋ toqquz jyz toqsɑn toqquzint͡ʃi jili . bɑrmin bu ʔut͡ʃurni rusijɛ hɑzirqi zɑmɑn tɑriχi mɑterijɑllirini sɑqlɑʃ wɛ tɛtqiq qiliʃ mɛrkizi , ʔɑtmiʃ ʔikkint͡ʃi pont . ʔikkint͡ʃi mundɛrid͡ʒɛ , ʔikki miŋ ʔikki jyz toqquzint͡ʃi d͡ʒilt , toqquz ʔonint͡ʃi pɑrt͡ʃɛ din nɛqil ʔɑlʁɑn . rust͡ʃɛ
6. بارمىن، ئا. ب. 1941-1949-يىللىرىدىكى سوۋېت-جۇڭگو مۇناسىۋەتلىرىدە شىنجاڭ، 1999-يىلى، بارنائۇل. 70-83-بەتلەر. ۋادىم.گ.ئوبۇخوۋ. سخۋاتكا شەستى ئىمپېرىيە، بىتۋا زا سىنزيانا، ( ئالتە ئىمپېرىيىنىڭ ئېلىشىشى، شىنجاڭ ئۈچۈن كۈرەش). موسكۋا. ۋەچە نەشرىياتى، 2007-يىلى، 273-331-بەتلەرگە قاراڭ. (رۇسچە)	ʔɑltɛ . bɑrmin , ʔɑ . p . miŋ toqquz jyz qiriq bir miŋ toqquz jyz qiriq toqquzint͡ʃi jilliridiki sowet d͡ʒuŋɡo munɑsiwɛtliridɛ ʃind͡ʒɑŋ , miŋ toqquz jyz toqsɑn toqquzint͡ʃi jili , bɑrnɑʔul . jɛtmiʃ sɛksɛn ʔyt͡ʃint͡ʃi bɛtlɛr . wɑdim . k . ʔobuχow . sχwɑtkɑ ʃɛsti ʔimperijɛ , bitwɑ zɑ sinzjɑnɑ , ʔɑltɛ ʔimperijiniŋ ʔeliʃiʃi , ʃind͡ʒɑŋ ʔyt͡ʃyn kyrɛʃ . moskwɑ . wɛt͡ʃɛ nɛʃrijɑti , ʔikki miŋ jɛttint͡ʃi jili , ʔikki jyz jɛtmiʃ ʔyt͡ʃ ʔyt͡ʃ jyz ʔottuz birint͡ʃi bɛtlɛrɡɛ qɑrɑŋ . rust͡ʃɛ
7. بارمىن، ئا.ب. 1941-1949-يىلىدىكى سوۋېت-جۇڭگو مۇناسىۋەتلىرىدە شىنجاڭ، 1999-يىلى، بارنائۇل، 70 -90-بەتلەر.	jɛttɛ . bɑrmin , ʔɑ . p . miŋ toqquz jyz qiriq bir miŋ toqquz jyz qiriq toqquzint͡ʃi jilidiki sowet d͡ʒuŋɡo munɑsiwɛtliridɛ ʃind͡ʒɑŋ , miŋ toqquz jyz toqsɑn toqquzint͡ʃi jili , bɑrnɑʔul , jɛtmiʃ toqsɑnint͡ʃi bɛtlɛr .
جۇ سۇلالىسى، جۇۋۋۋاڭ شاڭ سۇلالىسىنى يوقاتقاندىن كېيىن بوۋىسى جۇ ۋېن ۋاڭ ئىلگىرى چىشەن تېغىدىكى جۇيۈەندە تۇرغان بولغاچقا، دۆلەت نامىنى جۇ دەپ ئاتىغان. مىلادىدىن بۇرۇنقى 1100 – م. ب. 771 ئارىسى غەربىي جۇ، مىلادىدىن بۇرۇنقى 770 - 256 - يىللار ئارىسى شەرقىي جۇ سۇلالىسى دەپ ئاتالغان.	d͡ʒu sulɑlisi , d͡ʒuwwwɑŋ ʃɑŋ sulɑlisini joqɑtqɑndin kejin bowisi d͡ʒu wen wɑŋ ʔilɡiri t͡ʃiʃɛn teʁidiki d͡ʒujyɛndɛ turʁɑn bolʁɑt͡ʃqɑ , dølɛt nɑmini d͡ʒu dɛp ʔɑtiʁɑn . milɑdidin burunqi miŋ jyz milɑdidin burun jɛttɛ jyz jɛtmiʃ bir ʔɑrisi ʁɛrbij d͡ʒu , milɑdidin burunqi jɛttɛ jyz jɛtmiʃ ʔikki jyz ʔɛllik ʔɑltint͡ʃi jillɑr ʔɑrisi ʃɛrqij d͡ʒu sulɑlisi dɛp ʔɑtɑlʁɑn .
شاڭ سۇلالىسى تەخمىنەن م. ب. 1600 – م.ب 1046 يىللار ئارىسى مەۋجۇد بولۇپ تۇرغان بولۇپ، م. ب 1250 – م.ب 1192 - يىللار ئارىسى تەختتە ئولتۇرغان شاڭ خانى ۋۇدىڭ ھونلار بىلەن ئۈچ يىل ئۇرشقانلىقى قەيت قىلىنغان .	ʃɑŋ sulɑlisi tɛχminɛn milɑdidin burun miŋ ʔɑltɛ jyz milɑdidin burun miŋ qiriq ʔɑltɛ jillɑr ʔɑrisi mɛwd͡ʒut bolup turʁɑn bolup , milɑdidin burun miŋ ʔikki jyz ʔɛllik milɑdidin burun miŋ jyz toqsɑn ʔikkint͡ʃi jillɑr ʔɑrisi tɛχttɛ ʔolturʁɑn ʃɑŋ χɑni wudiŋ honlɑr bilɛn ʔyt͡ʃ jil ʔurʃqɑnliqi qɛjt qilinʁɑn .
جۇ شۈەنۋاڭ (م. ب. 827 – م. ب. 782) دەۋرىدە ھونلار غەربىي جۇ سۇلالىسى پايتەختىگە خەۋپ سېلىشقا باشلىغان. م. ب. 827 - يىلى جۇ شۈەنۋاڭ ھونلارغا قارشى كەڭ كۆلەملىك ھەربىي ھەرىكەت يۈرگۈزگەن بولسىمۇ، ھونلار تەرىپىدىن تارمار قىلىنغان .	d͡ʒu ʃyɛnwɑŋ milɑdidin burun sɛkkiz jyz jiɡirmɛ jɛttɛ milɑdidin burun jɛttɛ jyz sɛksɛn ʔikki dɛwridɛ honlɑr ʁɛrbij d͡ʒu sulɑlisi pɑjtɛχtiɡɛ χɛwp seliʃqɑ bɑʃliʁɑn . milɑdidin burun sɛkkiz jyz jiɡirmɛ jɛttint͡ʃi jili d͡ʒu ʃyɛnwɑŋ honlɑrʁɑ qɑrʃi kɛŋ kølɛmlik hɛrbij hɛrikɛt jyrɡyzɡɛn bolsimu , honlɑr tɛripidin tɑrmɑr qilinʁɑn .
مەملىكەتلىك يېزا-بازار ئومۇمىي سانى37334، بۇنىڭ ئىچىدە: بازار 19883 ؛ يېزا 17451. مەملىكەت بويىچە مەھەللە ئىش باشقارمىسى 5904.	mɛmlikɛtlik jezɑ bɑzɑr ʔomumij sɑni ʔottuz jɛttɛ miŋ ʔyt͡ʃ jyz ʔottuz tøt , buniŋ ʔit͡ʃidɛ bɑzɑr ʔon toqquz miŋ sɛkkiz jyz sɛksɛn ʔyt͡ʃ , jezɑ ʔon jɛttɛ miŋ tøt jyz ʔɛllik bir . mɛmlikɛt bojit͡ʃɛ mɛhɛllɛ ʔiʃ bɑʃqɑrmisi bɛʃ miŋ toqquz jyz tøt .
1918 - يىلى 11 - ئاينىڭ 11 - كۈنى گىرمانىيە ۋەكىلى ئېرتزبېگل ئەھدىلەشكەن دۆلەتلەر بىرلەشمە ئارمىيىسىنىڭ ۋەكىلى فوخ بىلەن فىرانسىيىنىڭ كومپىگنى ئورمىنىدىكى رېيدو ۋوگزالىدا ئۇرۇش توختىتىش كىلىشىمنامىسى ئىمزالىدى . گىرمانىيە ئۇرۇشتا مەغلۇپ بولدى، 1 - دۇنيا ئۇرۇشى شۇنىڭ بىلەن ئاياغلاشتى .	miŋ toqquz jyz ʔon sɛkkizint͡ʃi jili ʔon birint͡ʃi ʔɑjniŋ ʔon birint͡ʃi kyni ɡirmɑnijɛ wɛkili ʔertzbeɡl ʔɛhdilɛʃkɛn dølɛtlɛr birlɛʃmɛ ʔɑrmijisiniŋ wɛkili poχ bilɛn pirɑnsijiniŋ kompiɡni ʔorminidiki rejdo woɡzɑlidɑ ʔuruʃ toχtitiʃ kiliʃimnɑmisi ʔimzɑlidi . ɡirmɑnijɛ ʔuruʃtɑ mɛʁlup boldi , birint͡ʃi dunjɑ ʔuruʃi ʃuniŋ bilɛn ʔɑjɑʁlɑʃti .
1924 - يىلى 10- ئاينىڭ 13 - كۈنى، ئاناتول فرانس ۋاپات بولدى .	miŋ toqquz jyz jiɡirmɛ tøtint͡ʃi jili ʔonint͡ʃi ʔɑjniŋ ʔon ʔyt͡ʃint͡ʃi kyni , ʔɑnɑtol prɑns wɑpɑt boldi .
مەملىكەت بويىچە تەسىس قىلىنغان ئاھالە كومىتېتى مەھەللە ( ئاھالە كومىتېتى ) 7 مىڭدىن ئارتۇق؛ ئاھالىلەر گۇرۇپپىسى 129.6 مىڭدىن ئارتۇق، كەنت ئاھالە كومىتېتى 64.4 مىڭ؛ كەنت ئاھالە گۇرۇپپىسى 507.9 مىڭدىن ئارتۇق.	mɛmlikɛt bojit͡ʃɛ tɛsis qilinʁɑn ʔɑhɑlɛ komiteti mɛhɛllɛ ʔɑhɑlɛ komiteti jɛttɛ miŋdin ʔɑrtuq , ʔɑhɑlilɛr ɡuruppisi jyz jiɡirmɛ toqquz ʔɑltɛ miŋdin ʔɑrtuq , kɛnt ʔɑhɑlɛ komiteti ʔɑtmiʃ tøt tøt miŋ , kɛnt ʔɑhɑlɛ ɡuruppisi bɛʃ jyz jɛttɛ toqquz miŋdin ʔɑrtuq .
دىنى :ئاۋستىرىيىدەئاھالىنىڭ 74%ى كاتولىك دىنىغا،5%ى پروتىستانت دىنىغا، 4.2%ئىسلام دىنىغا ئىشىنىدۇ.	dini ʔɑwstirijidɛʔɑhɑliniŋ jɛtmiʃ tøt pirsɛnti kɑtolik diniʁɑ , bɛʃ pirsɛnti protistɑnt diniʁɑ , tøt ʔikki pirsɛnt ʔislɑm diniʁɑ ʔiʃinidu .
ئىقتىسادى: 2006 -يىلى ئالجىرىيەنىڭ ئۇمۇمى مىللى ئىشلەپچىقىرىش دارامىتى 85مىليارت306مىليۇن دوللار بولۇپ كىشى بېشىغا 2434دوللار توغرا كەلگەن. مىللى دارامەتنىڭ %3.6 مۇداپىئە خىراجىتى قىلىنغان.	ʔiqtisɑdi ʔikki miŋ ʔɑltint͡ʃi jili ʔɑld͡ʒirijɛniŋ ʔumumi milli ʔiʃlɛpt͡ʃiqiriʃ dɑrɑmiti sɛksɛn bɛʃ miljɑrt ʔyt͡ʃ jyz ʔɑltɛ miljun dollɑr bolup kiʃi beʃiʁɑ ʔikki miŋ tøt jyz ʔottuz tøt dollɑr toʁrɑ kɛlɡɛn . milli dɑrɑmɛtniŋ ʔyt͡ʃ ʔɑltɛ pirsɛnt mudɑpiʔɛ χirɑd͡ʒiti qilinʁɑn .
ئاھالىسى: ئازەربەيجاننىڭ2006-يىللىق نوپۇسى 7مىلىيۇن 961مىڭ619. ئاھالىنىڭ 95%نى ئازەربەيجانلار، 2.2%نى داغىستانلىقلار ، 1.8%نى رۇسلار، 1.5%نى ئەرمەنلەر ئىگەللەيدۇ . ئازەربەيجان تىلى دۆلەت تىلى. ئاھالىلەر ئازەربەيجان، تۈرك ۋە رۇس تىلىنى قوللىنىدۇ.	ʔɑhɑlisi ʔɑzɛrbɛjd͡ʒɑnniŋ ʔikki ʔɑltint͡ʃi jilliq nopusi jɛttɛ milijun toqquz jyz ʔɑtmiʃ bir miŋ ʔɑltɛ jyz ʔon toqquz . ʔɑhɑliniŋ toqsɑn bɛʃ pirsɛntni ʔɑzɛrbɛjd͡ʒɑnlɑr , ʔikki ʔikki pirsɛntni dɑʁistɑnliqlɑr , bir sɛkkiz pirsɛntni ruslɑr , bir bɛʃ pirsɛntni ʔɛrmɛnlɛr ʔiɡɛllɛjdu . ʔɑzɛrbɛjd͡ʒɑn tili dølɛt tili . ʔɑhɑlilɛr ʔɑzɛrbɛjd͡ʒɑn , tyrk wɛ rus tilini qollinidu .
دىنى : ئازەربەيجان ئاھالىسىنىڭ 85%ى ئىسلام دىنى شىئە مەزىبى ئونئىككى ئىمام ئەقىدىسىگە، 10% ئىسلام دىنى سۈننى مەزھىبىگە، 5. %2 رۇس پروۋىسلاۋىيە دىنىغا، 2.3% ئەرمەن پروۋىسلاۋىيە دىنىغا ئىشىنىدۇ.	dini ʔɑzɛrbɛjd͡ʒɑn ʔɑhɑlisiniŋ sɛksɛn bɛʃ pirsɛnti ʔislɑm dini ʃiʔɛ mɛzibi ʔonʔikki ʔimɑm ʔɛqidisiɡɛ , ʔon pirsɛnt ʔislɑm dini synni mɛzhibiɡɛ , bɛʃ . ʔikki pirsɛnt rus prowislɑwijɛ diniʁɑ , ʔikki ʔyt͡ʃ pirsɛnt ʔɛrmɛn prowislɑwijɛ diniʁɑ ʔiʃinidu .
ئاھالىسى: بېلارۇسىيەنىڭ 2006-يىللىق نوپۇسى 10مىلىيۇن 293مىڭ بولۇپ، ئاھالىنىڭ 48%نى بېلارۇسلار، 11.4%نى سېربلار، 4%نى پولەكلەر ئىگەللەيدۇ.يەنە 1% تاتار ۋە باشقا مىللەتلەر بار. رۇس ۋە بېلارۇس تىلى دۆلەت تىلى.	ʔɑhɑlisi belɑrusijɛniŋ ʔikki miŋ ʔɑltint͡ʃi jilliq nopusi ʔon milijun ʔikki jyz toqsɑn ʔyt͡ʃ miŋ bolup , ʔɑhɑliniŋ qiriq sɛkkiz pirsɛntni belɑruslɑr , ʔon bir tøt pirsɛntni serblɑr , tøt pirsɛntni polɛklɛr ʔiɡɛllɛjdu . jɛnɛ bir pirsɛnt tɑtɑr wɛ bɑʃqɑ millɛtlɛr bɑr . rus wɛ belɑrus tili dølɛt tili .
ئىقتىسادى - 2006 -:يىلى ئارگېنتىنانىڭ ئۇمۇمى مىللى ئىشلەپچىقىرىش دارامىتى 161مىليارت899مىليۇن دوللار بولۇپ كىشى بېشىغا 4100دوللار توغرا كەلگەن. ئارگېنتىنانىڭ 2002-يىلىدىن بۇيانقى يىىلىق ئىقتىسادى ئېشىش سۈرئىتى 8-9% بولۇۋاتىدۇ.	ʔiqtisɑdi ʔikki miŋ ʔɑltɛ jili ʔɑrɡentinɑniŋ ʔumumi milli ʔiʃlɛpt͡ʃiqiriʃ dɑrɑmiti jyz ʔɑtmiʃ bir miljɑrt sɛkkiz jyz toqsɑn toqquz miljun dollɑr bolup kiʃi beʃiʁɑ tøt miŋ jyz dollɑr toʁrɑ kɛlɡɛn . ʔɑrɡentinɑniŋ ʔikki miŋ ʔikkint͡ʃi jilidin bujɑnqi jiiliq ʔiqtisɑdi ʔeʃiʃ syrʔiti sɛkkiz toqquz pirsɛnt boluwɑtidu .
1757- يىلى چىڭ ھۆكىمىتى كونا دۈشمىنى جۇڭغارلارغا قارشى چوڭ-كىچىك خوجىلار ئىسيانى باھانىسى بىلەن بۇ يۇرتقا قوشۇن كىرگۈزگەن. بۇ دەۋىردە ئاللىبۇرۇن بېيجىڭگە باغلانغان قۇمۇل ۋاڭلىقى(1694-1930)، تۇرپان ۋاڭلىقى (1770-1931) ۋە كۇچا ۋاڭلىقى قاتارلىق يەرلىك بەگلىكلەر قۇرۇلغان.	miŋ jɛttɛ jyz ʔɛllik jɛttint͡ʃi jili t͡ʃiŋ høkimiti konɑ dyʃmini d͡ʒuŋʁɑrlɑrʁɑ qɑrʃi t͡ʃoŋ kit͡ʃik χod͡ʒilɑr ʔisjɑni bɑhɑnisi bilɛn bu jurtqɑ qoʃun kirɡyzɡɛn . bu dɛwirdɛ ʔɑlliburun bejd͡ʒiŋɡɛ bɑʁlɑnʁɑn qumul wɑŋliqi miŋ ʔɑltɛ jyz toqsɑn tøt miŋ toqquz jyz ʔottuz , turpɑn wɑŋliqi miŋ jɛttɛ jyz jɛtmiʃ miŋ toqquz jyz ʔottuz bir wɛ kut͡ʃɑ wɑŋliqi qɑtɑrliq jɛrlik bɛɡliklɛr qurulʁɑn .
سەيپىددىن ئەزىزى (ۋاكالەتەن) (1972-1973)	sɛjpiddin ʔɛzizi wɑkɑlɛtɛn miŋ toqquz jyz jɛtmiʃ ʔikki miŋ toqquz jyz jɛtmiʃ ʔyt͡ʃ
